year,zip,price ($),cumulative increase,num_colleges
201402,02127,453500.0,3.8993981083404985,0
201403,02127,458300.0,3.94067067927773,0
201404,02127,462000.0,3.9724849527085127,0
201405,02127,466600.0,4.012037833190026,0
201406,02127,469800.0,4.039552880481513,0
201407,02127,470600.0,4.046431642304385,0
201408,02127,471000.0,4.049871023215821,0
201409,02127,472600.0,4.0636285468615645,0
201410,02127,474100.0,4.07652622527945,0
201411,02127,476200.0,4.094582975064489,0
201412,02127,478600.0,4.115219260533104,0
201501,02127,480900.0,4.134995700773861,0
201502,02127,484700.0,4.167669819432502,0
201503,02127,489600.0,4.209802235597593,0
201504,02127,493600.0,4.244196044711952,0
201505,02127,497600.0,4.278589853826311,0
201506,02127,502700.0,4.32244196044712,0
201507,02127,508600.0,4.3731728288908,0
201508,02127,514900.0,4.427343078245916,0
201509,02127,521300.0,4.482373172828891,0
201510,02127,527400.0,4.534823731728289,0
201511,02127,533400.0,4.586414445399828,0
201512,02127,540100.0,4.64402407566638,0
201601,02127,547000.0,4.70335339638865,0
201602,02127,551500.0,4.742046431642304,0
201603,02127,554600.0,4.768701633705933,0
201604,02127,558600.0,4.803095442820292,0
201605,02127,562300.0,4.834909716251075,0
201606,02127,566000.0,4.866723989681858,0
201607,02127,570600.0,4.906276870163371,0
201608,02127,575400.0,4.947549441100602,0
201609,02127,579500.0,4.98280309544282,0
201610,02127,584100.0,5.0223559759243335,0
201611,02127,588400.0,5.05932932072227,0
201612,02127,598300.0,5.1444539982803095,0
199604,02128,51600.0,1.0,0
199605,02128,52700.0,1.0213178294573644,0
199606,02128,53800.0,1.0426356589147288,0
199607,02128,54900.0,1.063953488372093,0
199608,02128,56100.0,1.0872093023255813,0
199609,02128,57200.0,1.1085271317829457,0
199610,02128,58300.0,1.12984496124031,0
199611,02128,59500.0,1.1531007751937985,0
199612,02128,60900.0,1.180232558139535,0
199701,02128,62400.0,1.2093023255813953,0
199702,02128,63800.0,1.2364341085271318,0
199703,02128,65100.0,1.2616279069767442,0
199704,02128,66400.0,1.2868217054263567,0
199705,02128,67800.0,1.313953488372093,0
199706,02128,69100.0,1.3391472868217054,0
199707,02128,70600.0,1.3682170542635659,0
199708,02128,71900.0,1.3934108527131783,0
199709,02128,73300.0,1.4205426356589148,0
199710,02128,74700.0,1.447674418604651,0
199711,02128,76100.0,1.4748062015503876,0
199712,02128,77700.0,1.505813953488372,0
199801,02128,79500.0,1.5406976744186047,0
199802,02128,81100.0,1.571705426356589,0
199803,02128,82500.0,1.5988372093023255,0
199804,02128,84000.0,1.627906976744186,0
199805,02128,85500.0,1.6569767441860466,0
199806,02128,87000.0,1.686046511627907,0
199807,02128,88500.0,1.7151162790697674,0
199808,02128,90000.0,1.744186046511628,0
199809,02128,91500.0,1.7732558139534884,0
199810,02128,93200.0,1.806201550387597,0
199811,02128,95000.0,1.8410852713178294,0
199812,02128,97100.0,1.8817829457364341,0
199901,02128,99300.0,1.9244186046511629,0
199902,02128,101400.0,1.9651162790697674,0
199903,02128,103400.0,2.003875968992248,0
199904,02128,105500.0,2.044573643410853,0
199905,02128,107600.0,2.0852713178294575,0
199906,02128,109700.0,2.125968992248062,0
199907,02128,111800.0,2.1666666666666665,0
199908,02128,113900.0,2.2073643410852712,0
199909,02128,116000.0,2.248062015503876,0
